BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0109,803503_1971,188162.35,9635549.99,142.74,2004,NONE,17.55,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0109,BAU-MIL5-FD0109,BAU-MIL5-FD0109,BAU-MIL5-FD0109
BAU-MIL5-FD0110,803503_1971,188563.61,9635549.8,140.56,2004,NONE,12.9,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0110,BAU-MIL5-FD0110,BAU-MIL5-FD0110,BAU-MIL5-FD0110
BAU-MIL5-FD0111,803503_1971,188959.88,9635549.56,130.04,2004,NONE,7.85,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0111,BAU-MIL5-FD0111,BAU-MIL5-FD0111,BAU-MIL5-FD0111
BAU-MIL5-FD0112,803503_1971,189352.73,9635549.87,124.04,2004,NONE,3.9,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0112,BAU-MIL5-FD0112,BAU-MIL5-FD0112,BAU-MIL5-FD0112
BAU-MIL5-FD0113,803503_1971,185762.37,9637149.41,143.16,2004,NONE,16.45,SAD69_23S,SURV,MIL5,MIL5,14_06_2004,14_06_2004,,MIL5-FD0113,BAU-MIL5-FD0113,BAU-MIL5-FD0113,BAU-MIL5-FD0113
BAU-MIL5-FD0114,803503_1971,186162.79,9637151.07,143.92,2004,NONE,13.2,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0114,BAU-MIL5-FD0114,BAU-MIL5-FD0114,BAU-MIL5-FD0114
BAU-MIL5-FD0115,803503_1971,186561.63,9637150.52,143.3,2004,NONE,17.05,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0115,BAU-MIL5-FD0115,BAU-MIL5-FD0115,BAU-MIL5-FD0115
BAU-MIL5-FD0116,803503_1971,186961.22,9637150.4,139.18,2004,NONE,13.25,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0116,BAU-MIL5-FD0116,BAU-MIL5-FD0116,BAU-MIL5-FD0116
BAU-MIL5-FD0117,803503_1971,186161.41,9637550.9,143.47,2004,NONE,15.6,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0117,BAU-MIL5-FD0117,BAU-MIL5-FD0117,BAU-MIL5-FD0117
BAU-MIL5-FD0118,803503_1971,186960.88,9637551.36,138.09,2004,NONE,13.65,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0118,BAU-MIL5-FD0118,BAU-MIL5-FD0118,BAU-MIL5-FD0118
BAU-MIL5-FD0119,803503_1971,185361.88,9638351.41,129.45,2004,NONE,4.6,SAD69_23S,SURV,MIL5,MIL5,14_06_2004,14_06_2004,,MIL5-FD0119,BAU-MIL5-FD0119,BAU-MIL5-FD0119,BAU-MIL5-FD0119
BAU-MIL5-FD0120,803503_1971,186161.14,9638351.2,139.9,2004,NONE,16.9,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0120,BAU-MIL5-FD0120,BAU-MIL5-FD0120,BAU-MIL5-FD0120
BAU-MIL5-FD0121,803503_1971,186962.61,9638350.87,137.7,2004,NONE,16.85,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0121,BAU-MIL5-FD0121,BAU-MIL5-FD0121,BAU-MIL5-FD0121
BAU-MIL5-FD0122,803503_1971,185361.8,9639150.97,134.89,2004,NONE,14.45,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0122,BAU-MIL5-FD0122,BAU-MIL5-FD0122,BAU-MIL5-FD0122
BAU-MIL5-FD0123,803503_1971,186159.01,9639150.65,136.8,2004,NONE,16.65,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0123,BAU-MIL5-FD0123,BAU-MIL5-FD0123,BAU-MIL5-FD0123
BAU-MIL5-FD0124,803503_1971,186965.52,9639150.53,128.13,2004,NONE,12.75,SAD69_23S,SURV,MIL5,MIL5,15_06_2004,15_06_2004,,MIL5-FD0124,BAU-MIL5-FD0124,BAU-MIL5-FD0124,BAU-MIL5-FD0124
BAU-MIL5-FD0125,803503_1971,185764.26,9639551.16,136.4,2004,NONE,15.55,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0125,BAU-MIL5-FD0125,BAU-MIL5-FD0125,BAU-MIL5-FD0125
BAU-MIL5-FD0126,803503_1971,186164.44,9639550.82,136.28,2004,NONE,16.5,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0126,BAU-MIL5-FD0126,BAU-MIL5-FD0126,BAU-MIL5-FD0126
BAU-MIL5-FD0127,803503_1971,186560.64,9639551.23,134.37,2004,NONE,15.85,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0127,BAU-MIL5-FD0127,BAU-MIL5-FD0127,BAU-MIL5-FD0127
BAU-MIL5-FD0128,803503_1971,186964.83,9639550.76,128.62,2004,NONE,14.35,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0128,BAU-MIL5-FD0128,BAU-MIL5-FD0128,BAU-MIL5-FD0128
BAU-MIL5-FD0129,803503_1971,187368.83,9639551.89,126.05,2004,NONE,9.75,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0129,BAU-MIL5-FD0129,BAU-MIL5-FD0129,BAU-MIL5-FD0129
BAU-MIL5-FD0130,803503_1971,187764.1,9639551.21,115.69,2004,NONE,3.85,SAD69_23S,SURV,MIL5,MIL5,16_06_2004,16_06_2004,,MIL5-FD0130,BAU-MIL5-FD0130,BAU-MIL5-FD0130,BAU-MIL5-FD0130
BAU-MIL5-FD0131,803503_1971,185363.14,9639950.45,133.8,2004,NONE,15.3,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0131,BAU-MIL5-FD0131,BAU-MIL5-FD0131,BAU-MIL5-FD0131
BAU-MIL5-FD0132,803503_1971,186160.98,9639950.18,135.7,2004,NONE,13.3,SAD69_23S,SURV,MIL5,MIL5,17_06_2004,17_06_2004,,MIL5-FD0132,BAU-MIL5-FD0132,BAU-MIL5-FD0132,BAU-MIL5-FD0132
